Nama Produk; Kategori; Deskripsi Produk; Harga (Dalam Rupiah); Berat (Dalam Gram); Pemesanan Minimum; Status; Jumlah Stok; Etalase; Preorder; Waktu Proses Preorder; Kondisi; Gambar 1 ; Gambar 2; Gambar 3; Gambar 4; Gambar 5; URL Video Produk 1; URL Video Produk 2; URL Video Produk 3 
Baju Gamis Wanita Terbaru Gamis Jumbo Gamis Bahan Missbee 4L 9878;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU & PROMO SALE.  ITEM FLASH SALE, tidak perlu di tanya STOK PASTI READY. Untuk mendapatkan FREE ONGKIR, pembelian ini bisa dikombinasikan dengan produk lain Minimum belanja Rp 70.000 untuk J&T Minimum belanja Rp 150.000 untuk JNE  Nama/Kode item : 9878 Material : Missbee Ukuran : LD 112cm (4L) P 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia);65000;300;1;Stock Tersedia;17;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/81cabd9a475f9edfdbf28565aadf0e20;https://cf.shopee.co.id/file/5630dff0c7c89fefb10e7404031322b1;https://cf.shopee.co.id/file/e70cf5b64c81b04e0a18ae4e679d9653;https://cf.shopee.co.id/file/6de84069e97e265f46018f898ac0e8b2;https://cf.shopee.co.id/file/9b0bfb7b2cda6068f6881565e9b8fb01;;;
Baju Gamis Wanita Gamis Busui Mutiara Bahan Wafer 6967;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.   Nama/Kode item : 6967 Material : Wafer Lingkar Dada: 90cm Panjang : 125cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;80000;300;1;Stock Tersedia;95;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/79c4e0e02035b412e3223b6fcbc7b2b9;;;;;;;
Baju Gamis Wanita Terbaru Gamis Batik Busui Jumbo Jersey Korea 4L 7056;1889;Untuk kenyamanan transaksi anda, silahkan membaca 'Catatan & Kebijakan' toko kami.  Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU & PROMO SALE.  Nama/Kode item : 7056 Material : Jersey Korea Ukuran : LD 112cm (4L) PB 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer.  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia);75000;300;1;Stock Tersedia;137;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/70a143ac12c6bdad8223732d0ab4aa25;https://cf.shopee.co.id/file/af4dd4fdb68932967ea46cd00b7829e9;https://cf.shopee.co.id/file/98df7d1f6c7ae223b7c3e89cfe49eb69;https://cf.shopee.co.id/file/56cc0e9b2e9c64fc4b601b846daa83e7;https://cf.shopee.co.id/file/1b7547bcb21ff342ff0f51c29dfcf1ac;;;
Baju Gamis Wanita Terbaru Gamis Polos Gamis Pesta Gamis Busui Bahan Babat Crepe 8992;1889;Untuk kenyamanan transaksi anda, silahkan membaca 'Catatan & Kebijakan' toko kami.  Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 8992 Free belt Material : Babat Crepe Ukuran LD 96cm (fit sampai LD 100cm) Panjang : 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;85000;300;1;Stock Tersedia;36;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/22b1826b3deadd6fe082d25c0713c7a5;https://cf.shopee.co.id/file/4f17ef66751dde7f17dd92ab81cba3be;https://cf.shopee.co.id/file/4caf3420a5f9c229f68379f50e4d5ccb;;;;;
Baju Gamis Wanita Terbaru Gamis Pesta Gamis Polos Babat Crepe Kulit Jeruk 8132;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 8132 Material : Babat (kulit Jeruk) Lingkar Dada: 96cm Panjang Badan: 130cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #hijab #hitjab #hijablook #hijabwear #hijabfashion #bajumuslim #jualbajumuslim #jualbaju #jualhijabfashion #fashionmuslimah #fashionmuslim #grosirtanahabangjakarta #onlineshop #onlinejakarta #pgmta #grosirsolo #gamisjersey #tanahabang;95000;300;1;Stock Tersedia;168;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/caf920bab040d5c16f709d943ba6677d;https://cf.shopee.co.id/file/6e588c96c6ba631985dda7f16d3f4b1e;https://cf.shopee.co.id/file/42ffd290c6d966a235565874dbe6d10b;;;;;
Baju Gamis Wanita Terbaru Variasi Motek Babat Kulit Jeruk /Crepe 6925;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 6925 Material : Babat (Kulit Jeruk) Lingkar Dada: 96cm Panjang Badan: 130cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #hijab #hitjab #hijablook #hijabwear #hijabfashion #bajumuslim #jualbajumuslim #jualbaju #jualhijabfashion #fashionmuslimah #fashionmuslim #grosirtanahabangjakarta #onlineshop #onlinejakarta #pgmta #grosirsolo #gamisjersey #tanahabang;75000;300;1;Stock Tersedia;86;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/d40a0c44a7373d826e2bfeca508ec9e5;https://cf.shopee.co.id/file/b5db85498cb7e398140d9abd13a2c5e7;https://cf.shopee.co.id/file/19866b9c839e4cdef976a0c53f909287;;;;;
GAMIS MURAH! Baju Gamis Wanita Terbaru Baju Gamis Wanita Gendut Bahan Jersey 6L Gamis Jumbo 9820;1889;Untuk kenyamanan transaksi anda, silahkan membaca 'Catatan & Kebijakan' toko kami.  Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 9820 Material : Jersey Korea Ukuran : 6L - 120cm PB 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;75000;300;1;Stock Tersedia;198;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/4a5313aa0fe925747b8fef2ca782bf0e;https://cf.shopee.co.id/file/8469a9bf4e5b3aeacd7c5a0113d111f9;https://cf.shopee.co.id/file/a00abcbe4daa2e84ac68310122eb90e8;;;;;
Baju Gamis Wanita Terbaru Gamis Pesta Remaja Gamis Crepe Onde 8211;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.   Nama/Kode item : 8211 Material : Crepe kombinasi onde LD 100cm Panjang : 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;105000;300;1;Stock Tersedia;24;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/ef9f8bac1e5c5c381061c5f65b167295;https://cf.shopee.co.id/file/1c5a6423b92fd4453311fbe96fea9e6f;https://cf.shopee.co.id/file/3dd828d706cd93dd802f8eb4f8b9b04e;;;;;
GAMIS JERSEY MURAH! Gamis Wanita Jersey Jumbo XXL 6825/6827;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 6825/6827 Material : Jersey Korea Ukuran : XXL LD 106CM Panjang : 135cm  NOTE: Pengambilan motif TIDAK akan persis FOTO. Posisi motif bisa berbeda karena ini produksi massal, bukan produksi satuan.  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;65000;300;1;Stock Tersedia;113;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/f50097bbad737f8788f2399367b65997;https://cf.shopee.co.id/file/1afe6a17b7cebdd4ac31baf6dc270782;https://cf.shopee.co.id/file/bbc46e0f103036031a828ff9f76311c3;;;;;
Baju Gamis Wanita Terbaru Gamis Busui Jumbo Jersey Korea 4L 6978;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU & PROMO SALE.  Nama/Kode item : 6978 Material : Jersey Korea Ukuran : LD 112cm (4L) P 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia);75000;300;1;Stock Tersedia;47;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/ffc91d08356dab43ed14625f41a224f4;https://cf.shopee.co.id/file/534a5b876a46acb1869efccb71c322fb;https://cf.shopee.co.id/file/4ebfe65f415478fb2f8d75e15ae1c1fa;https://cf.shopee.co.id/file/f4ec6b4935ad596b005b9a3cf2319467;;;;
Baju Gamis Wanita Terbaru Gamis Jumbo Gamis Sablon Kaos Misty 9890;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 9890 Material : Kaos Misty Ukuran : LD 96cm Panjang Baju 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)    #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;85000;300;1;Stock Tersedia;49;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/4263c7f03fec37528d1a3d1472572208;https://cf.shopee.co.id/file/a32b806e195818d0b43f50579480ca4e;;;;;;
Baju Gamis Wanita Gamis Jersey Gamis Jumbo Busui XXL 7015;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 7015 Material : Jersey Korea LD 106cm Panjang : 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;100000;300;1;Stock Tersedia;53;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/c7d951dd1ceff7ff6f3cc586a5926344;https://cf.shopee.co.id/file/aa71e094a1273e0dd013de36a8cfd065;https://cf.shopee.co.id/file/b2b6395fea40b20554f7a2a1f3a80c4d;;;;;
Baju Gamis Wanita Terbaru Gamis Jumbo Jersey Dior Salur Ukuran 4L 9856;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU & PROMO SALE.  Nama/Kode item : 9856 Material : Jersey Dior Salur Ukuran : LD 112cm (4L) PB 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia);70000;300;1;Stock Tersedia;132;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/1f997ff55479bcebbe794a9d1447e03e;https://cf.shopee.co.id/file/33dbc1821c664c4c12ef029c8a6b8a96;;;;;;
BEST SELLER! Baju Gamis Wanita Gamis Jumbo 4L Gamis Jersey Missbee 9800;1889;Note: Mohon maaf warna BLACK kosong & tidak produksi lagi.  Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 9800 Material : Jersey Missbee  (Silahkan Google bahan Missbee) Ukuran : Size 4L : LD 112cm Panjang : 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia);82500;300;1;Stock Tersedia;278;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/119253a81a6fce7a65392b80ec868698;https://cf.shopee.co.id/file/57502cc23b780f5fd4ac181ce18dde2b;https://cf.shopee.co.id/file/e2e2e320c5a2008fe094cee4410eddee;;;;;
Baju Gamis Wanita Gamis Kancing Samping Bahan Wafer 8154;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 8154 Material : Wafer Lingkar Dada: 90cm Panjang : 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;85000;300;1;Stock Tersedia;45;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/5d55909f12f5c0db7751137061f8e2f1;https://cf.shopee.co.id/file/4e2b3fbc1f098e1914eb21f5ba621f50;https://cf.shopee.co.id/file/c1ddf6db5bc6c985a9afdf45d813a388;https://cf.shopee.co.id/file/cdd340771abd2e2f6e8d757cebff9eae;https://cf.shopee.co.id/file/f099d22ec4da3de41fa44170ee4684bd;;;
Baju Gamis Wanita Terbaru Gamis BCL Gamis Jersey Belmont 8138;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.  Nama/Kode item : 8138 Material : Jersey Belmont (Berat jatuhnya bagus dan tebal) LD 100cm Panjang : 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;130000;300;1;Stock Tersedia;44;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/d325b4bac45588059d07e2447d024359;https://cf.shopee.co.id/file/81bbb6ef88996d50ac9748ef167795a6;https://cf.shopee.co.id/file/61f5978f695edaa18619b3481cf14bcb;https://cf.shopee.co.id/file/738849175de3ae863a01a75d7d4e9b1e;https://cf.shopee.co.id/file/f0241537e435248072c1062dd9507e0b;;;
Baju Gamis Wanita Terbaru Gamis BCL Gamis Jersey Belmont Gamis Syari 8187;1889;Untuk kenyamanan transaksi anda, silahkan membaca 'Catatan & Kebijakan' toko kami.  Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU DAN PROMO SALE.   Nama/Kode item : 8187 Material : Jersey Belmont (Berat jatuhnya bagus dan tebal) LD 100cm Panjang : 135cm  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia)  #gamisjumbo #gamispesta #gamisjersey #gamispolos #gamiswanita #bajugamiswanita #gamisbatik #gamismurah #gamisremaja #gamiputih #gamismaxmara;130000;300;1;Stock Tersedia;60;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/f0b372befa36aa170c6acafc32722dc6;https://cf.shopee.co.id/file/cc0925079cf30d3398cb94a8ee1986da;https://cf.shopee.co.id/file/6dcffdb1f70e08c30e988eb0a948400f;https://cf.shopee.co.id/file/87cacfae6c4c4c4fa321c3cc9c45eac6;https://cf.shopee.co.id/file/248759306f14016e67c27775ceccc61f;;;
Baju Gamis Wanita Terbaru Gamis Jumbo Gamis Jersey Missbe 4L 9877;1889;Favoritkan toko kami untuk memudahkan pencarian barang, update produk BARU & PROMO SALE.  Nama/Kode item : 6947 Material : Jersey Dior  Ukuran : LD 112cm (4L) PB 135cm  *Cantumkan size dan warna saat melakukan pemesanan. Tidak mencantumkan size maka dikirim random.  Foto kami semua asli dan sesuai barang, akan tetapi pasti ada perbedaan warna sekitar 10 persen bergantung dari masing masing smartphone/device customer. (Diluar kendali kami)  Jam kerja admin Senin s/d Sabtu 7.00 s/d 16.00 Minggu & Hari Besar Libur (Pengiriman hari sama, asalkan pembayaran sebelum jam 12 siang, dan stok tersedia);75000;300;1;Stock Tersedia;67;Fashion Muslim Wanita;;;Baru;https://cf.shopee.co.id/file/e4ec3378b3dc6cca65b704e52c6e4eb9;https://cf.shopee.co.id/file/9f5ba8375c65981230246397f7f4a208;;;;;;
